service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BGS1-0477M,0,0,0,0,0,0,1,20180429,20180429
BGS2-0477AD,1,1,1,1,1,0,0,20180429,20180429
RX-036KM,1,1,1,1,1,1,1,20180418,20180616
1EX-010AW,1,1,1,1,1,0,0,20180418,20180420
1EX-0106W,0,0,0,0,0,1,0,20180421,20180421
1EX-0107W,0,0,0,0,0,0,1,20180422,20180422
1EX-025BT,1,1,0,1,1,0,0,20180423,20180615
1EX-0253T,0,0,1,0,0,0,0,20180425,20180613
1EX-0266T,0,0,0,0,0,1,0,20180428,20180616
1EX-0257T,0,0,0,0,0,0,1,20180429,20180616
2EX-014AM,1,1,1,1,1,0,0,20180418,20180615
2EX-014JM,1,1,1,1,1,1,0,20180421,20180616
2EX-0147M,0,0,0,0,0,0,1,20180422,20180616
328A-027AM,1,1,1,1,1,0,0,20180423,20180611
332A-029AM,1,1,1,1,1,0,0,20180427,20180427
332A-0116M,0,0,0,0,0,1,0,20180428,20180616
332A-0117M,0,0,0,0,0,0,1,20180429,20180616
332A-011AM,1,1,1,1,1,0,0,20180430,20180518
332A-011AV,1,1,1,1,1,0,0,20180522,20180615
346A-014KM,1,1,1,1,1,1,1,20180418,20180527
346A-013AM,1,1,1,1,1,0,0,20180423,20180531
448A-012BM,1,1,0,1,1,0,0,20180601,20180616
448A-012IM,0,0,0,0,1,1,0,20180611,20180612
