trip_id, arrival_time, departure_time, stop_id, stop_sequence
RX_10_1_036KM_011002,04:25:00,04:25:00,41194,1
RX_10_1_036KM_011002,04:36:00,04:36:00,41195,3
RX_10_1_036KM_011002,04:50:00,04:50:00,41197,4
RX_10_1_036KM_011002,04:51:00,04:51:00,41375,6
RX_10_1_036KM_011002,04:58:00,04:58:00,41199,8
RX_10_1_036KM_011004,05:30:00,05:30:00,41194,1
RX_10_1_036KM_011004,05:39:00,05:39:00,41195,3
RX_10_1_036KM_011004,05:51:00,05:51:00,41197,4
RX_10_1_036KM_011004,05:56:00,05:56:00,41375,6
RX_10_1_036KM_011004,05:57:00,05:57:00,41199,8
RX_10_1_036KM_011006,06:45:00,06:45:00,41194,1
RX_10_1_036KM_011006,06:54:00,06:54:00,41195,3
RX_10_1_036KM_011006,07:06:00,07:06:00,41197,4
RX_10_1_036KM_011006,07:11:00,07:11:00,41375,6
RX_10_1_036KM_011006,07:12:00,07:12:00,41199,8
RX_10_1_036KM_011008,08:00:00,08:00:00,41194,1
RX_10_1_036KM_011008,08:09:00,08:09:00,41195,3
RX_10_1_036KM_011008,08:21:00,08:21:00,41197,4
RX_10_1_036KM_011008,08:26:00,08:26:00,41375,6
RX_10_1_036KM_011008,08:27:00,08:27:00,41199,8
RX_10_1_036KM_011010,09:15:00,09:15:00,41194,1
RX_10_1_036KM_011010,09:24:00,09:24:00,41195,3
RX_10_1_036KM_011010,09:36:00,09:36:00,41197,4
RX_10_1_036KM_011010,09:41:00,09:41:00,41375,6
RX_10_1_036KM_011010,09:42:00,09:42:00,41199,8
RX_10_1_036KM_011012,10:30:00,10:30:00,41194,1
RX_10_1_036KM_011012,10:39:00,10:39:00,41195,3
RX_10_1_036KM_011012,10:51:00,10:51:00,41197,4
RX_10_1_036KM_011012,10:56:00,10:56:00,41375,6
RX_10_1_036KM_011012,10:57:00,10:57:00,41199,8
RX_10_1_036KM_011014,11:45:00,11:45:00,41194,1
RX_10_1_036KM_011014,11:54:00,11:54:00,41195,3
RX_10_1_036KM_011014,12:06:00,12:06:00,41197,4
RX_10_1_036KM_011014,12:11:00,12:11:00,41375,6
RX_10_1_036KM_011014,12:12:00,12:12:00,41199,8
RX_10_1_036KM_011016,13:00:00,13:00:00,41194,1
RX_10_1_036KM_011016,13:09:00,13:09:00,41195,3
RX_10_1_036KM_011016,13:21:00,13:21:00,41197,4
RX_10_1_036KM_011016,13:26:00,13:26:00,41375,6
RX_10_1_036KM_011016,13:27:00,13:27:00,41199,8
RX_10_1_036KM_011018,14:15:00,14:15:00,41194,1
RX_10_1_036KM_011018,14:24:00,14:24:00,41195,3
RX_10_1_036KM_011018,14:36:00,14:36:00,41197,4
RX_10_1_036KM_011018,14:41:00,14:41:00,41375,6
RX_10_1_036KM_011018,14:42:00,14:42:00,41199,8
RX_10_1_036KM_011020,15:30:00,15:30:00,41194,1
RX_10_1_036KM_011020,15:39:00,15:39:00,41195,3
RX_10_1_036KM_011020,15:51:00,15:51:00,41197,4
RX_10_1_036KM_011020,15:56:00,15:56:00,41375,6
RX_10_1_036KM_011020,15:57:00,15:57:00,41199,8
RX_10_1_036KM_011022,16:45:00,16:45:00,41194,1
RX_10_1_036KM_011022,16:54:00,16:54:00,41195,3
RX_10_1_036KM_011022,17:06:00,17:06:00,41197,4
RX_10_1_036KM_011022,17:11:00,17:11:00,41375,6
RX_10_1_036KM_011022,17:12:00,17:12:00,41199,8
RX_10_1_036KM_011024,18:00:00,18:00:00,41194,1
RX_10_1_036KM_011024,18:09:00,18:09:00,41195,3
RX_10_1_036KM_011024,18:21:00,18:21:00,41197,4
RX_10_1_036KM_011024,18:26:00,18:26:00,41375,6
RX_10_1_036KM_011024,18:27:00,18:27:00,41199,8
RX_10_1_036KM_011026,19:15:00,19:15:00,41194,1
RX_10_1_036KM_011026,19:24:00,19:24:00,41195,3
RX_10_1_036KM_011026,19:36:00,19:36:00,41197,4
RX_10_1_036KM_011026,19:41:00,19:41:00,41375,6
RX_10_1_036KM_011026,19:42:00,19:42:00,41199,8
RX_10_1_036KM_011028,20:30:00,20:30:00,41194,1
RX_10_1_036KM_011028,20:39:00,20:39:00,41195,3
RX_10_1_036KM_011028,20:51:00,20:51:00,41197,4
RX_10_1_036KM_011028,20:56:00,20:56:00,41375,6
RX_10_1_036KM_011028,20:57:00,20:57:00,41199,8
RX_10_1_036KM_021002,05:00:00,05:00:00,41194,1
RX_10_1_036KM_021002,05:09:00,05:09:00,41195,3
RX_10_1_036KM_021002,05:21:00,05:21:00,41197,4
RX_10_1_036KM_021002,05:26:00,05:26:00,41375,6
RX_10_1_036KM_021002,05:27:00,05:27:00,41199,8
RX_10_1_036KM_021004,06:00:00,06:00:00,41194,1
RX_10_1_036KM_021004,06:09:00,06:09:00,41195,3
RX_10_1_036KM_021004,06:21:00,06:21:00,41197,4
RX_10_1_036KM_021004,06:26:00,06:26:00,41375,6
RX_10_1_036KM_021004,06:27:00,06:27:00,41199,8
RX_10_1_036KM_021006,07:15:00,07:15:00,41194,1
RX_10_1_036KM_021006,07:24:00,07:24:00,41195,3
RX_10_1_036KM_021006,07:36:00,07:36:00,41197,4
RX_10_1_036KM_021006,07:41:00,07:41:00,41375,6
RX_10_1_036KM_021006,07:42:00,07:42:00,41199,8
RX_10_1_036KM_021008,08:30:00,08:30:00,41194,1
RX_10_1_036KM_021008,08:39:00,08:39:00,41195,3
RX_10_1_036KM_021008,08:51:00,08:51:00,41197,4
RX_10_1_036KM_021008,08:56:00,08:56:00,41375,6
RX_10_1_036KM_021008,08:57:00,08:57:00,41199,8
RX_10_1_036KM_021010,09:45:00,09:45:00,41194,1
RX_10_1_036KM_021010,09:54:00,09:54:00,41195,3
RX_10_1_036KM_021010,10:06:00,10:06:00,41197,4
RX_10_1_036KM_021010,10:11:00,10:11:00,41375,6
RX_10_1_036KM_021010,10:12:00,10:12:00,41199,8
RX_10_1_036KM_021012,11:00:00,11:00:00,41194,1
RX_10_1_036KM_021012,11:09:00,11:09:00,41195,3
RX_10_1_036KM_021012,11:21:00,11:21:00,41197,4
RX_10_1_036KM_021012,11:26:00,11:26:00,41375,6
RX_10_1_036KM_021012,11:27:00,11:27:00,41199,8
RX_10_1_036KM_021014,12:15:00,12:15:00,41194,1
RX_10_1_036KM_021014,12:24:00,12:24:00,41195,3
RX_10_1_036KM_021014,12:36:00,12:36:00,41197,4
RX_10_1_036KM_021014,12:41:00,12:41:00,41375,6
RX_10_1_036KM_021014,12:42:00,12:42:00,41199,8
RX_10_1_036KM_021016,13:30:00,13:30:00,41194,1
RX_10_1_036KM_021016,13:39:00,13:39:00,41195,3
RX_10_1_036KM_021016,13:51:00,13:51:00,41197,4
