route_id,service_id,trip_id,trip_headsign,wheelchair_accessible
RXa1,RX-036KM,RX_10_1_036KM_011002,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_011004,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_011006,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_011008,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_011010,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_011012,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_011014,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_011016,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_011018,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_011020,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_011022,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_011024,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_011026,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_011028,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021002,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021004,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021006,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021008,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021010,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021012,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021014,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021016,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021018,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021020,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021022,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021024,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021026,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021028,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021030,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021032,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_021034,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_031002,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_031004,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_031006,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_031008,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_031010,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_031012,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_031014,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_031016,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_031018,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_031020,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_031022,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_031024,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_041002,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_041004,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_041006,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_041008,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_041010,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_041012,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_041014,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_041016,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_041018,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_041020,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_041022,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_041024,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_041026,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_041028,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_041030,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_051003,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_051005,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_051007,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_051009,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_051011,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_051013,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_051015,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_051017,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_051019,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_051021,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_051023,"Aeroport St Exupery",1
RXa1,RX-036KM,RX_10_1_036KM_051025,"Aeroport St Exupery",1
RXr2,RX-036KM,RX_10_2_036KM_011003,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011005,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011007,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011009,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011011,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011013,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011015,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011017,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011019,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011021,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011023,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011025,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011027,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011029,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021003,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021005,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021007,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021009,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021011,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021013,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021015,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021017,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021019,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021021,"Gare Part  Dieu",1
